Metric,Model,Mean_abs_error
HELL,model2,2.4417204545454543
JS,model2,2.4501840909090906
KL,model2,2.4238079545454543
KS,model2,2.568159090909091
MAE,model2,8.489881818181818
RMAE,model2,8.36284090909091
WASS,model2,8.509439772727275
