species,real_value,model_mean,model_std,model_min,model_max,abs_error,z_score,model_range,z_range,metric,plot
Plebejus_argus,9.0,4.8613,5.0211137677159625,0.0,27.0,4.1387,0.8242593558844294,27.0,0.1532851851851852,KS,KS_A3_model2.csv
Rhyzobius_lophanthae,1.0,0.0534,0.3346036998653728,0.0,17.0,0.9466,2.82901832938746,17.0,0.05568235294117647,KS,KS_A3_model2.csv
Tiphia_morio,1.0,0.0106,0.11614210648550291,0.0,2.0,0.9894,8.518874247588224,2.0,0.4947,KS,KS_A3_model2.csv
Tychius_sp,2.0,0.7352,1.7669162853162892,0.0,25.0,1.2648000000000001,0.7158233870562764,25.0,0.050592000000000005,KS,KS_A3_model2.csv
Usia_sp,2.0,0.0029,0.08655829962472351,0.0,7.0,1.9971,23.07231090095919,7.0,0.2853,KS,KS_A3_model2.csv
Xylocopa_cantabrita,2.0,0.4,1.1423355431086382,0.0,24.0,1.6,1.4006392514461377,24.0,0.06666666666666667,KS,KS_A3_model2.csv
Acmaeodera_sp,2.0,0.233,1.3945269701755694,0.0,14.0,1.767,1.2670963257007046,14.0,0.1262142857142857,WASS,WASS_A3_model2.csv
Anthrenus_sp,5.0,20.2813,4.349006978169794,0.0,27.0,15.281300000000002,3.5137446494580877,27.0,0.5659740740740742,WASS,WASS_A3_model2.csv
Attagenus_sp,11.0,26.9799,0.14456168167249842,24.0,27.0,15.9799,110.54035768760731,3.0,5.3266333333333336,WASS,WASS_A3_model2.csv
Bombylius_sp,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,,WASS,WASS_A3_model2.csv
Buprestidae_sp1,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,,WASS,WASS_A3_model2.csv
Ceratina_sp,4.0,17.2903,5.395566432147091,0.0,27.0,13.290299999999998,2.4631890214187036,27.0,0.4922333333333333,WASS,WASS_A3_model2.csv
Chasmatopterus_sp,12.0,26.9983,0.041198054905211556,26.0,27.0,14.9983,364.0535951153052,1.0,14.9983,WASS,WASS_A3_model2.csv
Coptocephala_sp,2.0,6.83,6.2042686349746,0.0,25.0,4.83,0.7784962715464002,25.0,0.1932,WASS,WASS_A3_model2.csv
Curculionidae,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,,WASS,WASS_A3_model2.csv
Halictidae_sp1,1.0,0.1241,1.0689309853050064,0.0,17.0,0.8759,0.8194167930776866,17.0,0.051523529411764704,WASS,WASS_A3_model2.csv
Halictidae_sp3,1.0,0.23,1.4124091085620334,0.0,17.0,0.77,0.545167823778716,17.0,0.045294117647058825,WASS,WASS_A3_model2.csv
Heliotaurus_ruficollis,2.0,0.8148,2.6239263440397704,0.0,20.0,1.1852,0.4516895082410271,20.0,0.05926,WASS,WASS_A3_model2.csv
Lasioglossum_sp3,3.0,1.9544,3.9295629256290963,0.0,22.0,1.0456,0.2660855723114821,22.0,0.04752727272727273,WASS,WASS_A3_model2.csv
Lasioglossum_sp4,3.0,2.0329,4.014078832420621,0.0,25.0,0.9670999999999998,0.24092700725979685,25.0,0.038683999999999996,WASS,WASS_A3_model2.csv
Lasioglossum_sp5,5.0,13.9674,6.2533229282329925,0.0,27.0,8.9674,1.4340215758750086,27.0,0.33212592592592594,WASS,WASS_A3_model2.csv
Malachius_sp,1.0,0.1049,0.9658101619505218,0.0,15.0,0.8951,0.9267866867255593,15.0,0.059673333333333335,WASS,WASS_A3_model2.csv
Megachile_apicalis,2.0,11.1489,6.516346757770549,0.0,27.0,9.1489,1.4039921968686226,27.0,0.3388481481481481,WASS,WASS_A3_model2.csv
