"Plant_id";"Anthrenus_sp";"Apis_mellifera";"Attagenus_sp";"Bombus_terrestris";"Bombylius_sp";"Cardiophorus_sp";"Ceratina_sp";"Chasmatopterus_sp";"Chrysolina_americana";"Colletes_sp";"Dasypoda_sp";"Diodontus_insidiosus";"Eristalis_sp";"Eucera_sp";"Halictidae_sp1";"Heliotaurus_ruficollis";"Lasioglossum_sp1";"Lasioglossum_sp2";"Lasioglossum_sp3";"Lasioglossum_sp6";"Lindenius_luteiventris";"Lobonyx_aeneus";"Malachius_sp";"Metasyrphus_corollae";"Mordellidae_sp1";"Nitidulidae_sp1";"Nustera_distigma";"Oedemera_sp";"Phthiria_sp";"Phthiria_sp1";"Rhyncomyia_cupraea";"Syritta_pipiens";"Tiphia_morio";"Xylocopa_cantabrita"
"456";0.87801060662246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.87801060662246;0;0;0
"457";1.85931657872991;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"458";1.96674375883431;0;0;0;0;0;0;0;0;0;0;0;0;0;0.374617858825583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"459";18.3584035930151;0;0;0;0;1.75602121324492;0;0;0;0;0;0;0;0;0.957829752679047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"533";0;0;0;0;0;0;0;0.587035746091818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"534";0;0;0;0;0;0;0;4.01735733733058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0312825860271116;0.0312662845231892;0;0;0;0;0
"535";0;0;0;0;0;0;0;1.40593665057031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"536";0;0;0;0;0;0;0;1.43026541966798;0;0;0;0;0;0;0;0;0;0;0;0;0;0.272757304487153;0;0;0;0;0;0;0;0;0;0;0;0
"537";0;0;0;0;0;0;0;0.781129858445728;0;0;0;0;0;0;0;0;0;0.0450074282357174;0;0;0;0.0117285640929476;0;0;0;0;0;0;0.0499306403687569;0.00101018544345108;0.0260642919200695;0.0260642919200695;0;0
"538";0;0;0;0;0;0;0;0.0279850746268657;0;0;0;0;0;0;0;0;0;0.0279850746268657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"539";0;0;0;0;0;0;0;0.376219520157977;0;0;0;0;0;0;0;0.018755699508978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"540";0;0;0;0;0;0;0;0.975516886963524;0;0;0.0283687943262411;0;0;0;0;0.164929790879732;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0100530549368122;0;0;0;0
"541";0;0;0;0;0;0;0;0.654378589930953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"542";0;0;0;0;0;0;0;0.0703713845576854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"543";0;0;0;0;0;0;0;0.0821722599166287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"545";0;0;0;0;0;0;0;0.0703713845576854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"602";0;0;0.0483308590801354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"605";0;0;0.0162094265837993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"609";0.0292670202207487;0;0.0292670202207487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"80";0;0;0;0;0;0;0;0;0;0.0342857142857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"82";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.252764612954186;0.0626073047621438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"88";0;0;0;0;0;0;0.029581431035894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
