"Plant_id";"Anthophora_sp";"Apis_mellifera";"Bombus_terrestris";"Colletes_sp";"Diptera_sp1";"Eristalis_sp";"Halictus_sp2";"Lasioglossum_sp1";"Lasioglossum_sp2";"Lasioglossum_sp3";"Lasioglossum_sp6";"Lobonyx_aeneus";"Malachius_sp";"Rhyncomyia_cupraea";"Sphaerophoria_scripta";"Syrphidae_sp2";"Syrphidae_sp3";"Xylocopa_cantabrita"
"181";0;0;0;0;0;0.189973614775726;0;0;0.606539255240792;0.049583830434654;0;0.036620652172753;0;0;0;0;0;0.0383922133238027
"182";0;0;0;0;0;0;0;0;1.54994166148231;0;0;0;0;0;0;0;0;0
"183";0;0;0;0;0;0;0;0;1.947454626999;0;0;0.0652883569096844;0;0;0;0;0;0
"184";0;0.491266375545852;0.0982532751091703;0;0;0.161145926589078;0;0;0.163755458515284;0;0;0;0.205816747194838;0;0;0.157146146462235;0;0
"185";0;0.264900662251656;0.036890989641263;0;0;0.0860927152317881;0;0.033112582781457;0.970249148587936;0;0;0;0;0;0;0;0;0
"186";0;0.0500134695683456;0.0931356684720124;0;0;0.383371733017749;0;0;2.79481616656136;0.0421611310185863;0;0.0266429840142096;0;0.0631299183895298;0;0;0;0
"187";0;0.0321396284676628;0;0;0;0.102041947196008;0;0;2.59035763605954;0.0436149631226755;0;0.0554723636606153;0;0;0;0;0;0
"188";0;0;0;0.212014134275618;0;0;0;0;1.25930280094769;0;0;0.032626427406199;0;0;0.0978792822185971;0;0;0
"189";0;0;0;0;0;0.0331858407079646;0;0;1.47787595825529;0;0;0.0614124872057318;0.0307062436028659;0;0;0;0;0
"190";0;0;0;0;0;0.137295495999181;0;0;0.226466061068799;0;0;0.211979863566425;0;0;0;0;0;0
"191";0.092485549132948;0.138728323699422;0;0;0;0.129101667563206;0;0;1.62102094807576;0;0;0;0;0;0;0;0;0
"192";0;0;0;0;0;0;0;0;0.188529084733371;0;0;0;0;0;0;0;0.144131036220016;0
"193";0;0.030359909627434;0;0;0;0;0;0;0.734827166289302;0;0;0;0.162910324326859;0;0;0;0;0
"194";0;0;0;0.195439739413681;0;0.159787442710369;0;0;0.174825174825175;0;0;0;0;0;0;0;0;0
"195";0;0;0;0;0;0;0;0;0.484359233097881;0;0;0;0;0;0;0;0;0
"321";0;0;0;0;0.299178042135607;0;0;0;0;0;0;0;0;0.027972027972028;0;0;0;0
"322";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0832947709393799
"323";0;0;0;0;0;0;0;0;0;0;0;0;0.0555812876331635;0;0;0;0;0
"325";0;0;0;0;0;0;0;0;0;0;0;0;0;0.0540540540540541;0;0;0;0
"330";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.214669051878354
"334";0;0.223596220964506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"351";0;0;0;0;0;0;0;0.341102899374645;0;0;0;0;0;0;0;0;0;0
"352";0;0;0;0;0;0;0;0.514659197012138;0;0;0;0;0;0;0;0;0;0
"353";0;0;0;0;0;0;0;0.381165884699492;0;0;0;0;0;0;0;0;0;0
"354";0;0;0;0;0;0;0;0.179546527025364;0;0;0;0;0;0;0;0;0;0
"357";0;0;0;0;0;0;0;0.42483660130719;0;0;0;0;0;0;0;0;0;0
"358";0;0;0;0;0;0;0;0.0670765790944662;0;0;0;0;0;0;0;0;0;0
"359";0;0;0;0;0;0;0;0.249156743151467;0;0;0;0;0;0;0;0;0;0
"361";0;0;0;0;0;0.0206996606669342;0;0;0;0;0;0;0;0;0;0;0;0
"76";0;0;0;0;0;0;0.0803212851405622;1.25425852342873;0.0803212851405622;0;0;0;0;0;0;0;0;0
"77";0;0.0672805818953351;0;0;0;0;0;1.27832587439734;0;0;0;0;0;0;0;0;0;0
"78";0;0.488088320743754;0;0;0;0;0;0.997087838249928;0.201245807379013;0;0;0;0;0.0697269029633934;0;0;0;0.15565904949311
"79";0;0;0;0;0;0;0;0.240752067334288;0;0;0;0;0;0;0;0;0;0
"80";0;0.392962117773839;0;0;0;0;0;0.66533886002611;0;0;0;0;0;0;0;0;0;0
"81";0;8.0423911447783;0;0;0;0;0;0.691786752401336;0;0;0;0;0;0;0;0;0;0.312862108922364
"82";0;0;0;0;0;0;0;0.0265131106621448;0;0;0;0;0;0;0;0;0;0
"84";0;0;0;0;0;0;0;0.288603145073646;0.0227512040216852;0;0;0;0;0;0;0;0;0
"85";0;0;0;0;0;0;0;0.285807502347468;0.0266311584553928;0;0;0;0;0;0;0;0;0.537848605577689
"86";0;0;0;0;0;0;0;0.780346820809249;0;0;0;0;0;0;0;0;0;0.0578034682080925
"87";0;0.613953488372093;0;0;0;0;0;0.251162790697674;0.13953488372093;0;0;0;0;0;0;0;0;0.0837209302325581
"88";0.0348229831688915;1.73106646058733;0;0;0;0;0;0.295182008313023;0;0;0;0;0;0.104468949506674;0;0;0;0.340030911901082
"90";0;1.08955200529867;0;0;0;0.0322754168908015;0;1.37153899641369;0;0;0.1407789770061;0;0;0;0;0;0;0
