"Plant_id";"Acmaeodera_sp";"Anthrenus_sp";"Attagenus_sp";"Bombylius_sp";"Buprestidae_sp1";"Ceratina_sp";"Chasmatopterus_sp";"Coptocephala_sp";"Curculionidae";"Diptera_sp3";"Exochomus_nigromaculatus";"Exoprosopa_italica";"Halictidae_sp1";"Halictidae_sp3";"Halictidae_sp4";"Heliotaurus_ruficollis";"Hyperaspis_sp";"Laeosopis_roboris";"Lasioglossum_sp3";"Lasioglossum_sp4";"Lasioglossum_sp5";"Lomatia_sp";"Lycaena_phlaeas";"Malachius_sp";"Microlepidoptera";"Mordellidae_sp1";"Mordellidae_sp2";"Mylabris_sp1";"Oedemera_sp";"Paragus_tibialis";"Phthiria_sp1";"Phthiria_sp2";"Plebejus_argus";"Pyronia_cecilia";"Rhyzobius_lophanthae";"Syrphidae_sp6";"Syrphidae_sp7";"Tychius_sp";"Usia_sp";"Xylocopa_cantabrita"
"486";0;0;0;0;0;0;11.1534770967681;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.54704697221945;0;0;0;0;0;0;0;0;0;0;0
"487";0;0;0;0;0;0;2.72598101728382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0236881202928632;0;0;0;0;0;0;0;0;0;0;0
"488";0;0;0;0;0;0;0.281439683596179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"489";0;0;0;0;0;0;1.23443776492602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"490";0;0;0;0;0;0;0.129607454493442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00810046590584015;0;0;0;0;0;0;0;0;0;0;0
"491";0;0;0;0;0;0;0.670203257902237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.155664790495958;0;0;0;0;0;0;0;0;0;0;0
"492";0;0;0;0;0;0;2.91193577610602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"493";0;0;0;0;0;0;0.247594684438682;0;0;0;0;0;0;0;0;0.0471411901286433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0170442030586189;0
"494";0;0;0;0;0;0;0.445342204586004;0.00294809949899384;0;0;0;0;0;0;0;0.0429519795331732;0;0;0;0;0;0;0;0;0;0;0;0.000411362720789838;0;0;0;0;0;0;0;0;0;0;0;0
"495";0;0;0;0;0;0;1.62799074278409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"496";0;0;0;0;0;0;1.13235834855017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"497";0;0;0;0;0;0;0.517460213261885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00283958049903088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"498";0;0;0;0;0;0;1.21896315006845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"499";0;0;0;0;0;0;1.1305264615825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"500";0;0;0;0;0;0;1.28622507060473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
