"Plant_id";"Andrena_sp";"Anthrenus_sp";"Apis_mellifera";"Attagenus_sp";"Bombus_terrestris";"Bombylius_sp";"Ceratina_sp";"Chalicodoma_sicula";"Chasmatopterus_sp";"Chelostoma_sp";"Dasypoda_sp";"Deilus_sp";"Diodontus_insidiosus";"Diptera_sp1";"Diptera_sp3";"Diptera_sp4";"Episyrphus_sp";"Eucera_sp";"Heliotaurus_ruficollis";"Hylaeus_sp";"Lasioglossum_sp1";"Lasioglossum_sp2";"Lasioglossum_sp6";"Lindenius_luteiventris";"Lobonyx_aeneus";"Megachile_sp";"Megachilidae_sp";"Nustera_distigma";"Nymphalis_polychloros";"Osmia_sp";"Phthiria_sp";"Phthiria_sp1";"Rhyncomyia_cupraea";"Sphaerophoria_scripta";"Syrphidae_sp3";"Tiphia_morio";"Usia_sp";"Vespidae";"Vespula_sp";"Xylocopa_cantabrita"
"123";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0643141705709613
"125";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.475095001959682
"126";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0819737201897039
"127";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.104949727273754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"128";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0655546516057127
"129";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.251044518080968
"130";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.140266143435716
"132";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.063391442155309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";0;0;0.00500172219252925;0;0.0250086109626462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.128273650454303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.737573490112239
"276";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.654462780961734;0;0;0;0;0;0;0
"277";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.112131668661881;0;0;0;0;0.159320233669676;0;0;0;0;0;0;0
"278";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.525854513584575;0;0;0;0;0;0;0
"279";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.16024340770791;0;0;0;0;0;0;0.056657223796034
"28";0;0;0.020006888770117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0100034443850585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"281";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.126116657908565;0;0;0;0;0;0;0
"283";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.529509100937672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"284";0;0;0;0;0;0.214132762312634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.147856086742238;0;0;0;0;0;0;0;0;0;0;0.443568260226713;0;0;0;0;0;0;0.428265524625268
"285";0;0;0;0;0.163360560093349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"286";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.79295154185022;0;0;0;0;0;0;0
"287";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0203016865314587;0;0;0;0.950118764845606;0;0;0;0;0;0;0.066815144766147
"288";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30060120240481;0;0;0;0;0;0;0.93
"381";0;0.0423283378694896;0;0;0;0;0;0;0;0;0;0.0133751906356052;0;0;0;0;0;0;0.0211641689347448;0;0;3.49541357349596;0;0;0.0651112316874661;0;0;0;0;0;0;0;0.0976668475311991;0;0;0;0;0;0;0.223205718413057
"382";0;0.0822455070688757;0;0;0.00536795080836165;0;0;0.297029702970297;0;0;0;0;0.099009900990099;0;0;0;0.0998336106489185;0;0;0;0;7.9084127573532;0;0;0.00699537669322422;0.0300481550607048;0.266222961730449;0;0;0;0;0;1.17468630253305;0;0;0;0;0;0;1.21105112531761
