"Plant_id";"Acmaeodera_sp";"Anthrenus_sp";"Attagenus_sp";"Bombylius_sp";"Buprestidae_sp1";"Chasmatopterus_sp";"Coptocephala_sp";"Curculionidae";"Diptera_sp11";"Diptera_sp14";"Halictidae_sp1";"Heliotaurus_ruficollis";"Laeosopis_roboris";"Lasioglossum_sp3";"Lasioglossum_sp5";"Lobonyx_aeneus";"Lomatia_sp";"Megachile_apicalis";"Microlepidoptera";"Mordellidae_sp1";"Mordellidae_sp2";"Mylabris_sp2";"Oedemera_sp";"Phthiria_sp";"Phthiria_sp1";"Phthiria_sp2";"Plebejus_argus";"Pyronia_cecilia";"Rhyzobius_lophanthae";"Scymnus_sp";"Tiphia_morio";"Tychius_sp";"Usia_sp";"Xylocopa_cantabrita"
"517";0.0313007355327281;0;0;0;0;0.317485996060681;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"518";0;0;0;0;0.0194708987210941;0.149933167356874;0.0173074655298614;0;0;0;0;0;0;0;0;0;0;0;0;0.00216343319123268;0;0;0;0.033167495854063;0;0.0102428161995828;0;0;0;0;0;0;0;0
"519";0.0429528341616999;0;0;0;0;2.0899128055898;0.0536910427021249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0536910427021249;0;0;0;0;0;0;0;0
"520";0;0;0;0;0;0.132066837636493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"521";0;0;0;0;0;0.0994840753037094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"522";0.00543656529947606;0;0;0;0;0.818997572686009;0.089703327441355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00543656529947606;0.00271828264973803;0;0;0;0;0;0;0;0
"523";0.00187453436549213;0;0;0;0;0.449785932979177;0;0;0;0;0;0.0393747670694058;0;0;0;0;0;0;0;0;0;0;0;0.0329127811300055;0;0;0;0;0;0;0;0;0;0
"524";0;0;0;0;0;0.108255772328633;0;0;0;0;0;0;0;0;0;0.0270639430821582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"525";0.0157172496798955;0;0;0;0;0.103761808104224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0157172496798955;0;0;0;0;0;0;0;0
"526";0.00858680618729445;0;0;0;0;0.0548264487106679;0.00214670154682361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00214670154682361;0;0;0;0;0;0;0;0
"527";0;0;0;0;0;1.25802922647239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.066079295154185;0;0.0339667126216308;0;0;0;0;0;0;0;0
"528";0.0326918793341827;0;0;0;0;0.936176048367902;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"529";0;0;0;0;0;0.0406961514494675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"530";0.0102589579500573;0;0;0;0;1.7798803757876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0102589579500573;0;0;0;0;0;0;0;0
"591";0;0;0.529086911003664;0;0;0;0.875730059592272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.100344069328281;0;0;0;0;0;0;0
"592";0;0;0.109475291306108;0;0;0;0.00115934499113881;0;0.00347803497341643;0;0.0382583847075808;0;0.0463737996455525;0.0382583847075808;0.00579672495569406;0;0;0;0.00115934499113881;0.00115934499113881;0;0;0.00231868998227762;0;0;0.191954406389983;0.00463737996455525;0;0;0.00115934499113881;0;0;0;0
"593";0;0;0.145325893509924;0.0227071708609257;0;0;0;0;0;0;0;0;0;0;0.15895019602648;0;0.127160156821184;0;0;0;0;0;0;0;0;0.0908286834437027;0;0;0;0;0;0;0;0
