especie,real_value,model_mean,model_std,model_min,model_max,abs_error,z_score,model_range,z_range,metric,plot
Lobonyx_aeneus,4.0,0.8794,2.7354714256215598,0.0,32.0,3.1206,1.1407905674945702,32.0,0.09751875,HELL,HELL_A2_deg
Lomatia_sp,2.0,6.0398,9.237063835160464,0.0,45.0,4.0398,0.43734676647168813,45.0,0.08977333333333333,HELL,HELL_A2_deg
Mordellidae_sp,1.0,0.0967,0.8343972266691617,0.0,26.0,0.9033,1.0825779031000522,26.0,0.03474230769230769,HELL,HELL_A2_deg
Mylabris_sp,1.0,0.0987,0.8111868541903527,0.0,16.0,0.9013,1.1110880253349142,16.0,0.05633125,HELL,HELL_A2_deg
Nustera_distigma,6.0,0.5014,1.9131032477113286,0.0,27.0,5.4986,2.874178383512782,27.0,0.20365185185185183,HELL,HELL_A2_deg
Phthiria_sp,2.0,0.4112,1.7691883909737478,0.0,28.0,1.5888,0.8980389019654016,28.0,0.056742857142857143,HELL,HELL_A2_deg
Phthiria_sp1,6.0,0.2694,1.2611037539662737,0.0,26.0,5.7306,4.544114615452375,26.0,0.2204076923076923,HELL,HELL_A2_deg
Plebejus_argus,2.0,0.1816,1.112000492135433,0.0,20.0,1.8184,1.6352510748516227,20.0,0.09092,HELL,HELL_A2_deg
Rhyncomyia_cupraea,21.0,14.0977,14.080453850215989,0.0,48.0,6.9023,0.4902043693637135,48.0,0.14379791666666666,HELL,HELL_A2_deg
Scaeva_sp,1.0,0.9453,2.8976796863622543,0.0,32.0,0.05469999999999997,0.018877172745297575,32.0,0.001709374999999999,HELL,HELL_A2_deg
Sphaerophoria_scripta,4.0,2.7019,5.588251895353734,0.0,39.0,1.2980999999999998,0.2322908888697886,39.0,0.03328461538461538,HELL,HELL_A2_deg
Syrphidae_sp5,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,,HELL,HELL_A2_deg
Tiphia_morio,1.0,0.186,1.1753902135952228,0.0,24.0,0.8140000000000001,0.6925359685530977,24.0,0.03391666666666667,HELL,HELL_A2_deg
