especie,real_value,model_mean,model_std,model_min,model_max,abs_error,z_score,model_range,z_range,metric,plot
Syrphidae_sp2,1.0,3.6699,4.508144443851886,0.0,28.0,2.6699,0.592239231296405,28.0,0.09535357142857144,KS,KS_C2_1regular
Syrphidae_sp3,1.0,1.0661,2.5067826363525403,0.0,19.0,0.06610000000000005,0.026368460927341488,19.0,0.003478947368421055,KS,KS_C2_1regular
Xylocopa_cantabrita,10.0,22.7365,11.373126331411914,0.0,44.0,12.7365,1.1198767716861218,44.0,0.2894659090909091,KS,KS_C2_1regular
Acmaeodera_sp,1.0,1.2412,2.6152450192383636,0.0,19.0,0.24120000000000008,0.09222845210512805,19.0,0.012694736842105267,WASS,WASS_C2_1regular
Anthrenus_sp,4.0,31.5763,4.707376578246622,9.0,43.0,27.5763,5.858103668067166,34.0,0.8110676470588235,WASS,WASS_C2_1regular
Apis_mellifera,6.0,24.7199,5.876503834741523,1.0,42.0,18.7199,3.185550546113681,41.0,0.45658292682926827,WASS,WASS_C2_1regular
Attagenus_sp,1.0,24.8321,5.842338819538641,1.0,42.0,23.8321,4.079205389509056,41.0,0.5812707317073171,WASS,WASS_C2_1regular
Bombus_terrestris,1.0,3.3439,4.105644702338734,0.0,26.0,2.3439,0.5708969406594838,26.0,0.09015000000000001,WASS,WASS_C2_1regular
Bombylius_sp,1.0,16.2713,6.416105746579851,0.0,40.0,15.2713,2.3801509206952316,40.0,0.3817825,WASS,WASS_C2_1regular
Cantharidae_sp,1.0,1.1525,2.5121852753102747,0.0,18.0,0.15250000000000008,0.060704121427176634,18.0,0.008472222222222226,WASS,WASS_C2_1regular
Chasmatopterus_sp,13.0,43.1434,1.2452274889151462,27.0,44.0,30.1434,24.207143086972174,17.0,1.7731411764705882,WASS,WASS_C2_1regular
Coleoptera_sp1,1.0,1.0189,2.3796447341790485,0.0,18.0,0.018899999999999917,0.007942362037718295,18.0,0.0010499999999999954,WASS,WASS_C2_1regular
Diptera_sp3,1.0,5.2386,4.946242672135808,0.0,31.0,4.2386,0.8569332887522388,31.0,0.13672903225806451,WASS,WASS_C2_1regular
Diptera_sp4,1.0,2.7988,3.812633234028381,0.0,23.0,1.7988,0.4717999056257006,23.0,0.0782086956521739,WASS,WASS_C2_1regular
Diptera_sp9,1.0,3.5813,4.266967425596441,0.0,25.0,2.5813,0.6049495443802652,25.0,0.10325200000000001,WASS,WASS_C2_1regular
Episyrphus_balteatus,1.0,6.847,5.450941411923963,0.0,30.0,5.847,1.072658749772958,30.0,0.19490000000000002,WASS,WASS_C2_1regular
Eristalis_sp,1.0,35.382,4.53737090984166,13.0,44.0,34.382,7.577515852941328,31.0,1.1090967741935482,WASS,WASS_C2_1regular
Eucera_sp,2.0,13.7412,6.391565361535239,0.0,34.0,11.7412,1.8369834830539526,34.0,0.3453294117647059,WASS,WASS_C2_1regular
Eupeodes_sp,1.0,2.356,3.546198182865023,0.0,22.0,1.3559999999999999,0.3823813363145058,22.0,0.06163636363636363,WASS,WASS_C2_1regular
Halictidae_sp1,3.0,22.2544,6.132294932903532,0.0,40.0,19.2544,3.139835935921527,40.0,0.48136,WASS,WASS_C2_1regular
Heliotaurus_ruficollis,6.0,17.6479,6.462824645635999,0.0,37.0,11.6479,1.8022924400192732,37.0,0.3148081081081081,WASS,WASS_C2_1regular
Lasioglossum_sp2,10.0,22.3741,6.140710058454322,0.0,41.0,12.374099999999999,2.015092698109685,41.0,0.3018073170731707,WASS,WASS_C2_1regular
Lasioglossum_sp3,1.0,12.9336,6.3026790665828445,0.0,36.0,11.9336,1.8934170491517825,36.0,0.3314888888888889,WASS,WASS_C2_1regular
Lobonyx_aeneus,7.0,14.7674,6.3436835885901015,0.0,36.0,7.7674,1.2244305523009735,36.0,0.21576111111111113,WASS,WASS_C2_1regular
Malachius_sp,1.0,4.0797,4.468796809488258,0.0,28.0,3.0797,0.689156417553178,28.0,0.1099892857142857,WASS,WASS_C2_1regular
Metasyrphus_corollae,1.0,13.2455,6.369732105725484,0.0,34.0,12.2455,1.9224513365315685,34.0,0.36016176470588235,WASS,WASS_C2_1regular
Nitidulidae_sp1,4.0,2.0038,3.2781488962551117,0.0,22.0,1.9962,0.6089412235912826,22.0,0.09073636363636363,WASS,WASS_C2_1regular
Nustera_distigma,1.0,11.6221,6.30966502892806,0.0,33.0,10.6221,1.6834649622920748,33.0,0.32188181818181816,WASS,WASS_C2_1regular
