especie,real_value,model_mean,model_std,model_min,model_max,abs_error,z_score,model_range,z_range,metric,plot
Anthrenus_sp,15,32.0596,21.652656455806014,0,70,17.059600000000003,0.7878756140069634,70,0.24370857142857147,KS,KS_E2_model2.csv
Apis_mellifera,7,3.8342,7.000943627909597,0,52,3.1658,0.452196185,52,0.060880769,KS,KS_E2_model2.csv
Attagenus_sp,3,0.0915,0.5804838035161816,0,16,2.9085,5.010475714192641,16,0.18178125,KS,KS_E2_model2.csv
Bombus_terrestris,10,12.336,15.81431988013799,0,67,2.3360000000000003,0.14771422468404105,67,0.034865672,KS,KS_E2_model2.csv
Bombylius_sp,5,4.9131,8.435654356150536,0,56,0.0869,0.010301512642779176,56,0.001551786,KS,KS_E2_model2.csv
Cardiophorus_sp,1,4.6624,8.153825772450185,0,55,3.6624,0.4491633868820656,55,0.066589091,KS,KS_E2_model2.csv
Ceratina_sp,1,0.0255,0.2895826925311342,0,9,0.9745,3.365187302743335,9,0.10827777777777778,KS,KS_E2_model2.csv
Chasmatopterus_sp,14,17.6375,18.820943561406665,0,70,3.6374999999999993,0.19326873746430462,70,0.051964285714285706,KS,KS_E2_model2.csv
Chrysolina_americana,1,0.0418,0.3573031297828998,0,16,0.9582,2.681756525844624,16,0.0598875,KS,KS_E2_model2.csv
Colletes_sp,4,2.0901,4.638613334108198,0,45,1.9099,0.4117394278062174,45,0.042442222,KS,KS_E2_model2.csv
Dasypoda_sp,7,4.4224,7.753772652008422,0,55,2.5776000000000003,0.3324317226830654,55,0.046865455,KS,KS_E2_model2.csv
Diodontus_insidiosus,3,2.5325,5.259668255794867,0,45,0.4674999999999998,0.088883933,45,0.010388888888888885,KS,KS_E2_model2.csv
Eristalis_sp,1,0.0392,0.3753364460650933,0,13,0.9608,2.5598366747293486,13,0.073907692,KS,KS_E2_model2.csv
Eucera_sp,1,0.0314,0.32407490253681254,0,12,0.9686,2.988815216537708,12,0.080716667,KS,KS_E2_model2.csv
Halictidae_sp1,6,6.5313,10.36131053417463,0,58,0.5312999999999999,0.051277297234516545,58,0.009160345,KS,KS_E2_model2.csv
Heliotaurus_ruficollis,9,0.6147,2.0014605902813702,0,25,8.3853,4.189590362516793,25,0.33541200000000004,KS,KS_E2_model2.csv
Lasioglossum_sp1,2,0.565,1.9607038113758006,0,37,1.435,0.7318800482124218,37,0.038783784,KS,KS_E2_model2.csv
Lasioglossum_sp2,34,36.9732,21.74983648901135,0,70,2.9731999999999985,0.13669987824975813,70,0.042474285714285694,KS,KS_E2_model2.csv
Lasioglossum_sp3,2,0.0512,0.425906914,0,12,1.9488,4.575647717,12,0.16240000000000002,KS,KS_E2_model2.csv
