especie,real_value,model_mean,model_std,model_min,model_max,abs_error,z_score,model_range,z_range,metric,plot
Ceratina_sp,4.0,15.2828,8.110573487752262,0.0,27.0,11.2828,1.3911223438192257,27.0,0.41788148148148146,WASS,WASS_A3_randomproof.csv
Chasmatopterus_sp,12.0,15.4294,8.032550518159375,0.0,27.0,3.4293999999999993,0.4269378688932082,27.0,0.1270148148148148,WASS,WASS_A3_randomproof.csv
Coptocephala_sp,2.0,15.3457,8.131986499647153,0.0,27.0,13.3457,1.6411365169604093,27.0,0.4942851851851852,WASS,WASS_A3_randomproof.csv
Curculionidae,1.0,15.4603,8.030571145148501,0.0,27.0,14.4603,1.800656483659432,27.0,0.5355666666666666,WASS,WASS_A3_randomproof.csv
Halictidae_sp1,1.0,15.4263,8.04899042953173,0.0,27.0,14.4263,1.7923117347822821,27.0,0.5343074074074073,WASS,WASS_A3_randomproof.csv
Halictidae_sp3,1.0,15.4737,8.055097564255652,0.0,27.0,14.4737,1.796837329969382,27.0,0.536062962962963,WASS,WASS_A3_randomproof.csv
Heliotaurus_ruficollis,2.0,15.2783,8.119780920333959,0.0,27.0,13.2783,1.635302741573707,27.0,0.4917888888888889,WASS,WASS_A3_randomproof.csv
Lasioglossum_sp3,3.0,15.3726,8.060438344571017,0.0,27.0,12.3726,1.5349785546506132,27.0,0.45824444444444445,WASS,WASS_A3_randomproof.csv
Lasioglossum_sp4,3.0,15.2399,8.1050180210603,0.0,27.0,12.2399,1.5101632060774586,27.0,0.45332962962962964,WASS,WASS_A3_randomproof.csv
Lasioglossum_sp5,5.0,15.3661,8.110847636032727,0.0,27.0,10.3661,1.2780538440826128,27.0,0.3839296296296296,WASS,WASS_A3_randomproof.csv
Malachius_sp,1.0,15.3481,8.088230235152425,0.0,27.0,14.3481,1.7739480186458374,27.0,0.5314111111111112,WASS,WASS_A3_randomproof.csv
Megachile_apicalis,2.0,15.4532,8.06949325745696,0.0,27.0,13.4532,1.6671678841255608,27.0,0.4982666666666667,WASS,WASS_A3_randomproof.csv
Microlepidoptera,3.0,15.3942,8.057747767826255,0.0,27.0,12.3942,1.5381717518496603,27.0,0.4590444444444444,WASS,WASS_A3_randomproof.csv
Oedemera_sp,6.0,15.1937,8.226976882480153,0.0,27.0,9.1937,1.1175064827978964,27.0,0.3405074074074074,WASS,WASS_A3_randomproof.csv
Paragus_tibialis,2.0,15.4691,8.039447024568668,0.0,27.0,13.4691,1.6753764231343564,27.0,0.49885555555555555,WASS,WASS_A3_randomproof.csv
Phthiria_sp1,4.0,15.2749,8.117235917595005,0.0,27.0,11.2749,1.3890073067311508,27.0,0.4175888888888889,WASS,WASS_A3_randomproof.csv
Phthiria_sp2,5.0,15.3671,8.112343594908953,0.0,27.0,10.3671,1.2779414331644015,27.0,0.3839666666666667,WASS,WASS_A3_randomproof.csv
Plebejus_argus,9.0,15.1707,8.209525025244403,0.0,27.0,6.1707,0.7516512808018749,27.0,0.22854444444444444,WASS,WASS_A3_randomproof.csv
Rhyzobius_lophanthae,1.0,15.2562,8.102451884007277,0.0,27.0,14.2562,1.7594920900596855,27.0,0.5280074074074074,WASS,WASS_A3_randomproof.csv
Tiphia_morio,1.0,15.3005,8.160469292626974,0.0,27.0,14.3005,1.752411471350131,27.0,0.5296481481481481,WASS,WASS_A3_randomproof.csv
Tychius_sp,2.0,15.3353,8.072285307706164,0.0,27.0,13.3353,1.6519857130507427,27.0,0.4939,WASS,WASS_A3_randomproof.csv
Usia_sp,2.0,15.3167,8.046283326949029,0.0,27.0,13.3167,1.6550125640491704,27.0,0.49321111111111116,WASS,WASS_A3_randomproof.csv
Xylocopa_cantabrita,2.0,15.4384,8.04384707634219,0.0,27.0,13.4384,1.6706433964320087,27.0,0.4977185185185185,WASS,WASS_A3_randomproof.csv
Acmaeodera_sp,2.0,1.6742,3.280690575635764,0.0,26.0,0.3258000000000001,0.0993083597763143,26.0,0.012530769230769234,HELL,HELL_A3_randomproof.csv
Anthrenus_sp,5.0,1.2828,2.676404392846375,0.0,26.0,3.7172,1.388878306258768,26.0,0.14296923076923077,HELL,HELL_A3_randomproof.csv
